龙岗支行,长江东路2号  [地图],长江批发市场对面,对公：随市政府行政上班时间调整对私：冬季：8:00-17:30  夏季：8:00-18:00,0551-67672008
临泉路储蓄所,和煦园18号商102  [地图],和煦园旁边,冬季：8:00-17:30夏季：8:00-18:00,0551-65692072
嘉山路分理处,张洼路与嘉山路交叉口  [地图],元一名城对面,冬季：8:00-17:30夏季：8:00-18:00,0551-65603267
滨水城分理处,义井路与颍上路交叉口  [地图],滨水城小区门口,冬季：8:00-17:30夏季：8:00-18:00,0551-65539821
蒙城北路分理处,蒙城北路21号  [地图],国瑞宾馆,冬季：8:00-17:30夏季：8:00-18:00,0551-65535254
阜阳北路支行,阜阳北路龙河商场  [地图],佳佳洁超市、杏林小区,冬季：8:00-17:30夏季：8:00-18:00,0551-65531564
亳州路储蓄所,濉溪路333号  [地图],中国计算机函授学院附近,冬季：8:00-17:30夏季：8:00-18:00,0551-65530524
高新开发区支行,天柱路梦园小区门口  [地图],天柱路梦园小区门口,对公：8:30-12:00 14:30-17:00 周六、日休息对私：8:30-17:00,0551-65320252
颐和花园分理处,颐和花园清苑商106  [地图],颐和花园门口,冬季：8:00-17:30夏季：8:00-18:00,0551-65176556
三里庵支行,长江西路200号  [地图],置地广场一楼、国购广场对面,冬季：8:00-17:30夏季：8:00-18:00,0551-65165153
淠河路储蓄所,淠河路88号  [地图],38所旁边,冬季：8:00-17:30夏季：8:00-18:00,0551-65134139
望江西路分理处,望江西路160号  [地图],华润幸福里对面,冬季：8:00-17:30夏季：8:00-18:00,0551-65133409
东至路分理处,东至路通和佳苑商1  [地图],通和佳苑门口,冬季：8:00-17:30夏季：8:00-18:00,0551-65121370
蜀山东路分理处,长江西路306号  [地图],五里墩立交桥旁边、淠河路菜市旁边,冬季：8:00-17:30夏季：8:00-18:00,0551-65120426
龙河路储蓄所,龙河路(安大北门)  [地图],安徽大学老校区旁边,冬季：8:00-17:30夏季：8:00-18:00,0551-65107701
宣城路储蓄所,宣城路9号  [地图],合肥工业大学老校区旁边,冬季：8:00-17:30夏季：8:00-18:00,0551-64662854
钢南储蓄所,枞阳路256号  [地图],钢南菜市旁边,冬季：8:00-17:30夏季：8:00-18:00,0551-64531724
建新储蓄所,铜陵路182号  [地图],华业苑小区大门南边,冬季：8:00-17:30夏季：8:00-18:00,0551-64486062
东铜储蓄所,和平路241号  [地图],公交公司附近,冬季：8:00-17:30夏季：8:00-18:00,0551-64484501
和平路储蓄所,和平家园1号楼  [地图],合肥市第八人民医院对面,冬季：8:00-17:30夏季：8:00-18:00,0551-64462756
金大塘储蓄所,长江东路1087号  [地图],东方商城附近,冬季：8:00-17:30夏季：8:00-18:00,0551-64292491
美凯龙分理处,临泉路铜陵北路叉口  [地图],信地红星美凯龙市场,9:00-17:00,0551-64268553
新亚储蓄所,惠康小区门107号  [地图],新亚汽车站旁边,冬季：8:00-17:30夏季：8:00-18:00,0551-64228841
新城分理处,莲花路紫云花园75号  [地图],合肥师范学院对面,冬季：8:30-17:00夏季：8:30-17:30,0551-63848507
黄山路储蓄所,黄山东路55号  [地图],合肥水利厅医院旁,冬季：8:00-17:30夏季：8:00-18:00,0551-63652797
望江中路分理处,望江路140号  [地图],合肥市三院旁边,冬季：8:00-17:30夏季：8:00-18:00,0551-63638523
望江路储蓄所,桐城路55号  [地图],化三院旁边、省立儿童医院斜对面,冬季：8:00-17:30夏季：8:00-18:00,0551-63637812
铁四局分理处,望江路94号  [地图],铁四局家属院内,冬季：8:00-17:30夏季：8:00-18:00,0551-63636782
绩溪路储蓄所,绩溪路361号  [地图],安医住院部对面,冬季：8:00-17:30夏季：8:00-18:00,0551-63633857
马南支行,柏林春天东门105号  [地图],柏林春天小区门口,冬季：8:00-17:30夏季：8:00-18:00,0551-63448642
太宁花园储蓄所,宁国南路2号  [地图],太宁花园小区门口,冬季：8:00-17:30夏季：8:00-18:00,0551-63441456
银杏苑支行,银杏苑小区门口  [地图],银杏苑小区门口,冬季：8:00-17:30夏季：8:00-18:00,0551-63426037
包河苑储蓄所,纬二路包河广电局  [地图],包河苑小区、包河花园小区,9:00-17:00,0551-63358073
琥珀山庄分理处,琥珀山庄南村31幢附  [地图],琥珀山庄,冬季：8:00-17:30夏季：8:00-18:00,0551-62828907
汇通分理处,三孝口汇通商厦  [地图],三孝口十字路口东南角,周一至周五上午9：00-下午17：00，周六、周日休息,0551-62677823
含山路储蓄所,红星路4号  [地图],省委西门,冬季：8:00-17:30夏季：8:00-18:00,0551-62648522
舒城路储蓄所,舒城路2号  [地图],省政府后门红府超市旁边,冬季：8:00-17:30夏季：8:00-18:00,0551-62642322
城隍庙储蓄所,蒙城路102号  [地图],城隍庙旁边,冬季：8:00-17:30夏季：8:00-18:00,0551-62610376
城西支行营业部,长江路480号  [地图],百大CBD对面，六中对面,对公：随市政府行政上班时间调整对私：冬季：8:00-17:30      夏季：8:00-18:00,0551-62811245
梅山路支行,合肥市梅山路105号  [地图],中医学院对面,周一至周五对公：8:00-12:00 15:00-18:00周一至周日对私：8:00-18:00,0551-65116644
青年路支行,合肥市徽州大道638号  [地图],水利厅对面、九华山路下穿桥边上,周一至周五对公：8:00-12:00 15:00-18:00周一至周日对私：8:00-18:00,0551-64653401
芜湖路支行,合肥市芜湖路98号  [地图],合肥七中旁边,周一至周五对公：8:00-12:00 15:00-18:00周一至周日对私：8:00-18:00,0551-62886647
城南支行,合肥市金寨路66号  [地图],江南春大酒店旁边,周一至周五对公：8:00-12:00 15:00-18:00周一至周日对私：8:00-18:00,0551-63661825
钟楼支行营业部,合肥市徽州大道253号  [地图],省建行一楼营业大厅、安徽良苑会馆旁边,周一至周五对公：8:00-12:00 15:00-18:00周一至周日对私：8:00-18:00,0551-62879604
合肥长丰支行,长丰县水湖镇长寿路55号  [地图],长丰县人武部旁,周一至周五对公：（冬季）8:00-12:00 14:30-17:30周日休息对公：（夏季）8:00-12:00 15:00-18:00周日休息对私：周一至周日（冬季）8:00-17:30（夏季）8:00-18:00,0551-66675818
合肥肥西交通分理处,肥西县上派镇巢湖中路29号  [地图],巢湖路口,周一至周五对公：（冬季）8:00-12:00 14:30-17:30周日休息对公：（夏季）8:00-12:00 15:00-18:00周日休息对私：周一至周日（冬季）8:00-17:30（夏季）8:00-18:00,0551-68833408
合肥肥西支行,肥西县上派镇人民中路1号  [地图],人民中路四叉路口,周一至周五对公：（冬季）8:00-12:00 14:30-17:30周日休息对公：（夏季）8:00-12:00 15:00-18:00周日休息对私：周一至周日（冬季）8:00-17:30（夏季）8:00-18:00,0551-68842313
